Date	DS0	Run
2011-05-24 10:48:48	7.7656	1306226928
2011-05-24 10:59:11	8.1042	1306227551
2011-05-24 11:09:35	7.925	1306228175
2011-05-24 11:19:58	7.6953	1306228798
2011-05-24 11:30:21	7.4766	1306229421
2011-05-24 11:40:45	7.3929	1306230045
2011-05-24 11:49:39	7.375	1306230579
2011-05-24 11:58:19	7.3125	1306231099
2011-05-24 12:02:43	7.2917	1306231363
2011-05-24 12:13:07	7.2639	1306231987
2011-05-24 12:23:30	7.6719	1306232610
2011-05-24 12:42:25	7.9375	1306233745
2011-05-24 13:42:16	7.25	1306237336
2011-05-24 13:46:00	7.3187	1306237560
2011-05-24 13:56:23	8.0179	1306238183
2011-05-24 14:21:18	7.75	1306239678
2011-05-24 14:26:38	7.65	1306239998
2011-05-24 14:37:02	7.4813	1306240622
2011-05-24 14:47:25	7.4375	1306241245
2011-05-24 14:54:11	7.3125	1306241651
2011-05-24 15:00:31	7.3125	1306242031
2011-05-24 15:10:54	7.3125	1306242654
2011-05-24 15:21:18	7.4931	1306243278
2011-05-24 15:31:41	8.1818	1306243901
2011-05-24 15:42:04	7.9583	1306244524
2011-05-24 15:52:28	7.7431	1306245148
2011-05-24 16:03:20	7.5764	1306245800
2011-05-24 16:13:43	7.4531	1306246423
2011-05-24 16:24:06	7.375	1306247046
2011-05-24 16:34:30	7.375	1306247670
2011-05-24 16:44:53	7.3672	1306248293
2011-05-24 16:55:16	7.8812	1306248916
2011-05-24 17:06:08	8.175	1306249568
2011-05-24 17:16:31	7.95	1306250191
2011-05-24 17:26:55	7.7321	1306250815
2011-05-24 17:37:18	7.5893	1306251438
2011-05-24 17:47:41	7.4688	1306252061
2011-05-24 17:58:05	7.3812	1306252685
2011-05-24 18:08:56	7.375	1306253336
2011-05-24 18:19:19	7.4306	1306253959
2011-05-24 18:29:43	8.0833	1306254583
2011-05-24 18:40:06	8.1438	1306255206
2011-05-24 18:50:29	7.925	1306255829
2011-05-24 19:00:53	7.7321	1306256453
2011-05-24 19:11:44	7.5536	1306257104
2011-05-24 19:22:07	7.4437	1306257727
2011-05-24 19:32:30	7.375	1306258350
2011-05-24 19:42:54	7.3542	1306258974
2011-05-24 19:53:17	7.7458	1306259597
2011-05-24 20:25:51	7.8312	1306261551
2011-05-24 20:36:14	7.6172	1306262174
2011-05-24 20:46:38	7.4653	1306262798
2011-05-24 20:57:01	7.375	1306263421
2011-05-24 21:07:24	7.3611	1306264044
2011-05-24 21:17:48	7.3239	1306264668
2011-05-24 21:28:44	7.3125	1306265324
2011-05-24 22:08:33	7.5687	1306267713
2011-05-24 22:18:57	7.4097	1306268337
2011-05-24 22:29:20	7.3375	1306268960
2011-05-24 22:39:44	7.3125	1306269584
2011-05-24 22:50:07	7.25	1306270207
2011-05-24 23:00:30	7.8708	1306270830
2011-05-24 23:25:42	7.7639	1306272342
2011-05-24 23:36:05	7.5739	1306272965
2011-05-24 23:46:28	7.3958	1306273588
2011-05-24 23:56:52	7.2778	1306274212
2011-05-25 00:07:15	7.2292	1306274835
2011-05-25 00:17:38	7.2014	1306275458
2011-05-25 00:28:30	7.3403	1306276110
2011-05-25 00:38:53	8.0227	1306276733
2011-05-25 01:06:55	7.5062	1306278415
2011-05-25 01:17:18	7.3375	1306279038
2011-05-25 01:27:42	7.2273	1306279662
2011-05-25 01:38:05	7.1813	1306280285
2011-05-25 01:48:28	7.125	1306280908
2011-05-25 01:58:52	7.267	1306281532
2011-05-25 02:11:29	7.625	1306282289
2011-05-25 02:18:17	7.625	1306282697
2011-05-25 02:22:29	7.625	1306282949
2011-05-25 02:34:45	7.625	1306283685
2011-05-25 03:22:17	7.625	1306286537
2011-05-25 03:29:18	7.625	1306286958
2011-05-25 03:48:34	7	1306288114
2011-05-25 04:39:11	6.9437	1306291151
2011-05-25 04:49:35	6.875	1306291775
2011-05-25 04:59:58	6.9167	1306292398
2011-05-25 05:10:22	7.6042	1306293022
2011-05-25 05:31:08	7.3125	1306294268
2011-05-25 05:56:18	6.8984	1306295778
2011-05-25 06:06:42	6.8312	1306296402
2011-05-25 06:17:05	6.8958	1306297025
2011-05-25 06:27:28	6.8937	1306297648
2011-05-25 06:37:52	7.4188	1306298272
2011-05-25 06:48:15	7.7	1306298895
2011-05-25 06:59:07	7.5139	1306299547
2011-05-25 07:12:56	7.4375	1306300376
2011-05-25 07:18:20	7.4375	1306300700
2011-05-25 07:23:45	7.4375	1306301025
2011-05-25 07:29:09	7	1306301349
2011-05-25 07:35:59	7	1306301759
2011-05-25 07:46:23	7.0062	1306302383
2011-05-25 07:56:46	7.0139	1306303006
2011-05-25 08:07:09	7.3375	1306303629
2011-05-25 08:17:33	7.9062	1306304253
2011-05-25 08:27:56	7.7604	1306304876
2011-05-25 08:36:26	7.6875	1306305386
2011-05-25 08:41:50	7.6875	1306305710
2011-05-25 08:47:14	7.6875	1306306034
2011-05-25 08:52:38	7.6875	1306306358
2011-05-25 08:58:03	7.6875	1306306683
2011-05-25 09:03:27	7.125	1306307007
2011-05-25 09:15:37	7.1312	1306307737
2011-05-25 09:26:00	7.1875	1306308360
2011-05-25 09:36:23	7.3438	1306308983
2011-05-25 09:46:47	8.0188	1306309607
2011-05-25 09:57:10	7.9062	1306310230
2011-05-25 10:07:33	7.7	1306310853
2011-05-25 10:18:25	7.4931	1306311505
2011-05-25 10:28:49	7.3563	1306312129
2011-05-25 10:39:12	7.2614	1306312752
2011-05-25 10:49:35	7.2938	1306313375
2011-05-25 10:59:59	7.3125	1306313999
2011-05-25 11:10:22	7.6989	1306314622
2011-05-25 11:21:14	8.1562	1306315274
2011-05-25 11:31:38	7.9813	1306315898
2011-05-25 11:42:01	7.7656	1306316521
2011-05-25 11:52:24	7.6111	1306317144
2011-05-25 12:02:48	7.4531	1306317768
2011-05-25 12:13:11	7.4107	1306318391
2011-05-25 12:24:03	7.4375	1306319043
2011-05-25 12:34:27	8.3	1306319667
2011-05-25 12:55:13	8.325	1306320913
2011-05-25 13:05:37	8.3125	1306321537
2011-05-25 13:16:00	8.3125	1306322160
2011-05-25 13:26:52	7.6875	1306322812
2011-05-25 13:37:15	7.5833	1306323435
2011-05-25 13:47:39	7.5625	1306324059
2011-05-25 13:58:02	7.5875	1306324682
2011-05-25 14:08:25	7.6813	1306325305
2011-05-25 14:18:49	8	1306325929
2011-05-25 14:29:41	8	1306326581
2011-05-25 14:40:04	8	1306327204
2011-05-25 14:50:28	8	1306327828
2011-05-25 15:00:51	7.75	1306328451
2011-05-25 15:21:38	7.7569	1306329698
2011-05-25 15:32:29	7.8125	1306330349
2011-05-25 15:42:52	8.0875	1306330972
2011-05-25 15:53:16	8.6438	1306331596
2011-05-25 16:03:39	8.5125	1306332219
2011-05-25 16:14:02	8.35	1306332842
2011-05-25 16:24:26	8.1477	1306333466
2011-05-25 16:35:18	8.0062	1306334118
2011-05-25 16:45:42	7.9028	1306334742
2011-05-25 16:56:05	7.8563	1306335365
2011-05-25 17:06:28	7.8125	1306335988
2011-05-25 17:16:52	8.2847	1306336612
2011-05-25 17:27:15	8.6188	1306337235
2011-05-25 17:38:08	8.4514	1306337888
2011-05-25 17:48:31	8.2639	1306338511
2011-05-25 17:58:54	8.0227	1306339134
2011-05-25 18:09:18	7.8984	1306339758
2011-05-25 18:19:41	7.8333	1306340381
2011-05-25 18:30:05	7.7679	1306341005
2011-05-25 18:40:57	7.7266	1306341657
2011-05-25 18:51:21	8.4444	1306342281
2011-05-25 19:01:44	8.4812	1306342904
2011-05-25 19:12:07	8.3125	1306343527
2011-05-25 19:22:31	8.0982	1306344151
2011-05-25 19:32:54	7.8977	1306344774
2011-05-25 19:43:46	7.7687	1306345426
2011-05-25 19:54:10	7.6736	1306346050
2011-05-25 20:04:33	7.6429	1306346673
2011-05-25 20:14:56	7.767	1306347296
2011-05-25 20:25:20	8.4432	1306347920
2011-05-25 20:52:59	7.8319	1306349579
2011-05-25 21:23:22	7.6013	1306351402
2011-05-25 21:54:19	8.3304	1306353259
2011-05-25 22:09:32	8.0556	1306354172
2011-05-25 22:39:56	7.5288	1306355996
2011-05-25 23:10:46	7.8393	1306357846
2011-05-25 23:41:10	7.9417	1306359670
2011-05-26 00:12:02	7.4828	1306361522
2011-05-26 00:42:25	7.7863	1306363345
2011-05-26 01:26:45	7.558	1306366005
2011-05-26 01:57:08	7.294	1306367828
2011-05-26 02:27:59	7.9167	1306369679
2011-05-26 03:30:52	7.1683	1306373452
2011-05-26 04:01:16	7.7672	1306375276
2011-05-26 04:32:07	7.1548	1306377127
2011-05-26 05:33:22	7.7188	1306380802
2011-05-26 06:07:25	7.1058	1306382845
2011-05-26 06:37:49	7.0278	1306384669
2011-05-26 07:08:41	7.6013	1306386521
2011-05-26 07:39:04	7.0446	1306388344
2011-05-26 08:09:56	6.9665	1306390196
2011-05-26 08:40:19	7.5268	1306392019
2011-05-26 09:11:11	6.9745	1306393871
2011-05-26 09:41:35	6.9514	1306395695
2011-05-26 10:12:27	7.4766	1306397547
2011-05-26 10:54:58	6.8984	1306400098
2011-05-26 11:06:51	6.794	1306400811
2011-05-26 11:37:15	7.4591	1306402635
2011-05-26 12:08:07	7.005	1306404487
2011-05-26 12:38:31	6.8125	1306406311
2011-05-26 13:09:23	7.5292	1306408163
2011-05-26 13:39:46	7.0323	1306409986
2011-05-26 14:10:40	6.8415	1306411840
2011-05-26 14:41:03	7.5409	1306413663
2011-05-26 15:11:56	7.0692	1306415516
2011-05-26 15:42:19	6.8942	1306417339
2011-05-26 16:13:11	7.5927	1306419191
2011-05-26 16:43:35	7.0862	1306421015
2011-05-26 17:14:28	6.9107	1306422868
2011-05-26 18:50:21	6.875	1306428621
